競艇魂,2020-10-4,02,7,"[""123"",""124"",""132"",""134"",""142"",""143"",""314"",""413""]"
V-MAX,2020-10-4,02,1,"[""132"",""134"",""136"",""143"",""152"",""153"",""156"",""351""]"
Ocean,2020-10-4,05,6,"[""124"",""142"",""214"",""241"",""412"",""413"",""421"",""423""]"
PIT,2020-10-4,05,9,"[""123"",""124"",""126"",""132"",""134"",""136"",""162"",""163""]"
競艇魂,2020-10-4,05,9,"[""123"",""124"",""126"",""142"",""143"",""146"",""132"",""134""]"
DREAM BOAT,2020-10-4,05,9,"[""123"",""124"",""126"",""142"",""143"",""146"",""132"",""134""]"
DREAM BOAT,2020-10-4,05,1,"[""123"",""124"",""125"",""126"",""132"",""134"",""142"",""143""]"
舟遊記,2020-10-4,06,4,"[""134"",""135"",""143"",""145"",""153"",""154""]"
競艇バレット,2020-10-4,06,4,"[""134"",""135"",""143"",""145"",""153"",""154""]"
競艇ダイヤモンド,2020-10-4,06,4,"[""132"",""134"",""135"",""142"",""143"",""145""]"
競艇魂,2020-10-4,06,1,"[""123"",""132"",""134"",""136"",""142"",""143"",""145"",""146""]"
DREAM BOAT,2020-10-4,06,1,"[""134"",""136"",""143"",""146"",""163"",""164"",""314"",""413""]"
PIT,2020-10-4,07,7,"[""142"",""143"",""145"",""412"",""413"",""415"",""451"",""541""]"
競艇バレット,2020-10-4,07,9,"[""123"",""124"",""125"",""213"",""214"",""215""]"
JACKPOT,2020-10-4,11,5,"[""123"",""124"",""125"",""132"",""134"",""135""]"
競艇バレット,2020-10-4,11,5,"[""123"",""124"",""125"",""132"",""142"",""152""]"
PIT,2020-10-4,11,1,"[""123"",""124"",""125"",""142"",""143"",""145"",""132"",""134""]"
賞金王,2020-10-4,14,5,"[""326"",""324"",""321"",""325"",""236"",""234"",""231"",""235"",""632"",""634""]"
花舟,2020-10-4,14,9,"[""512"",""513"",""516"",""521"",""523"",""526"",""531"",""532"",""536"",""561""]"
競艇魂,2020-10-4,15,3,"[""123"",""124"",""125"",""126"",""132"",""136"",""213"",""216""]"
競艇ダイヤモンド,2020-10-4,15,8,"[""123"",""124"",""132"",""134"",""142"",""143""]"
花舟,2020-10-4,15,9,"[""123"",""132"",""134"",""135"",""136"",""143""]"
競艇ライフ,2020-10-4,16,3,"[""124"",""126"",""142"",""146"",""162"",""164"",""412"",""416"",""426"",""462""]"
皇艇,2020-10-4,16,4,"[""123"",""124"",""125"",""132"",""134"",""135""]"
競艇ライフ,2020-10-4,16,5,"[""314"",""315"",""341"",""345"",""351"",""354"",""514"",""531"",""534"",""541""]"
DREAM BOAT,2020-10-4,22,8,"[""123"",""125"",""132"",""134"",""135"",""136"",""152"",""153""]"
PIT,2020-10-4,22,8,"[""132"",""134"",""135"",""123"",""124"",""125"",""152"",""156""]"
Ocean,2020-10-4,22,1,"[""123"",""124"",""132"",""134"",""135"",""143"",""213"",""312""]"
PIT,2020-10-4,22,1,"[""123"",""124"",""125"",""142"",""143"",""145"",""132"",""134""]"
皇艇,2020-10-4,24,8,"[""132"",""135"",""136"",""152"",""153"",""156""]"
競艇バレット,2020-10-4,24,1,"[""132"",""135"",""136"",""312"",""315"",""316""]"
